Feature,P-Value,Bonferroni Corrected P-Value
GO:0006109,1.0,1.0
GO:0006113,0.536082474226804,1.0
GO:0006115,1.0,1.0
GO:0006116,0.536082474226804,1.0
GO:0006119,1.0,1.0
GO:0006124,1.0,1.0
GO:0006139,1.0,1.0
GO:0006144,1.0,1.0
GO:0006145,1.0,1.0
GO:0006146,1.0,1.0
GO:0006147,1.0,1.0
GO:0006148,1.0,1.0
GO:0006149,1.0,1.0
GO:0006152,1.0,1.0
GO:0006154,1.0,1.0
GO:0006161,1.0,1.0
GO:0006163,1.0,1.0
GO:0006164,1.0,1.0
GO:0006166,1.0,1.0
GO:0006168,1.0,1.0
GO:0006171,1.0,1.0
GO:0006172,1.0,1.0
GO:0006177,1.0,1.0
GO:0006178,1.0,1.0
GO:0006183,1.0,1.0
GO:0006188,1.0,1.0
GO:0006189,1.0,1.0
GO:0006203,1.0,1.0
GO:0006206,1.0,1.0
GO:0006207,0.536082474226804,1.0
GO:0006208,1.0,1.0
GO:0006209,1.0,1.0
GO:0006210,1.0,1.0
GO:0006212,1.0,1.0
GO:0006213,1.0,1.0
GO:0006217,1.0,1.0
GO:0006218,1.0,1.0
GO:0006220,1.0,1.0
GO:0006221,0.536082474226804,1.0
GO:0006222,1.0,1.0
GO:0006223,1.0,1.0
GO:0006225,1.0,1.0
GO:0006226,1.0,1.0
GO:0006227,1.0,1.0
GO:0006228,1.0,1.0
GO:0006229,1.0,1.0
GO:0006231,1.0,1.0
GO:0006233,1.0,1.0
GO:0006235,1.0,1.0
GO:0006241,1.0,1.0
GO:0006259,1.0,1.0
GO:0006260,0.3571428571428571,1.0
GO:0006261,0.536082474226804,1.0
GO:0006265,0.5505798969072165,1.0
GO:0006266,0.3571428571428571,1.0
GO:0006268,1.0,1.0
GO:0006269,1.0,1.0
GO:0006270,0.536082474226804,1.0
GO:0006271,1.0,1.0
GO:0006272,1.0,1.0
GO:0006273,1.0,1.0
GO:0006274,1.0,1.0
GO:0006275,1.0,1.0
GO:0006276,1.0,1.0
GO:0006281,1.0,1.0
GO:0006282,1.0,1.0
GO:0006283,1.0,1.0
GO:0006284,1.0,1.0
GO:0006285,1.0,1.0
GO:0006288,1.0,1.0
GO:0006289,1.0,1.0
GO:0006294,1.0,1.0
GO:0006298,1.0,1.0
GO:0006301,1.0,1.0
GO:0006302,1.0,1.0
GO:0006304,1.0,1.0
GO:0006307,1.0,1.0
GO:0006308,1.0,1.0
GO:0006310,1.0,1.0
GO:0006313,1.0,1.0
GO:0006338,1.0,1.0
GO:0006351,0.41637997714180164,1.0
GO:0006352,0.3571428571428571,1.0
GO:0006353,1.0,1.0
GO:0006354,0.1251840942562592,1.0
GO:0006355,0.21266082272006392,1.0
GO:0006364,0.04303203240058911,1.0
GO:0006382,1.0,1.0
GO:0006388,1.0,1.0
GO:0006396,1.0,1.0
GO:0006397,1.0,1.0
GO:0006399,1.0,1.0
GO:0006400,1.0,1.0
GO:0006401,1.0,1.0
GO:0006402,1.0,1.0
GO:0006412,0.6520726786806893,1.0
GO:0006413,1.0,1.0
GO:0006414,1.0,1.0
GO:0006415,0.3571428571428571,1.0
GO:0006417,0.536082474226804,1.0
GO:0006418,1.0,1.0
GO:0006419,1.0,1.0
GO:0006420,1.0,1.0
GO:0006421,1.0,1.0
GO:0006422,1.0,1.0
GO:0006423,1.0,1.0
GO:0006424,1.0,1.0
GO:0006425,1.0,1.0
GO:0006426,1.0,1.0
GO:0006427,1.0,1.0
GO:0006428,1.0,1.0
GO:0006429,1.0,1.0
GO:0006430,1.0,1.0
GO:0006431,1.0,1.0
GO:0006432,1.0,1.0
GO:0006433,1.0,1.0
GO:0006434,1.0,1.0
GO:0006435,1.0,1.0
GO:0006436,1.0,1.0
GO:0006437,1.0,1.0
GO:0006438,1.0,1.0
GO:0006446,1.0,1.0
GO:0006448,1.0,1.0
GO:0006449,0.3571428571428571,1.0
GO:0006450,1.0,1.0
GO:0006457,1.0,1.0
GO:0006465,1.0,1.0
GO:0006468,1.0,1.0
GO:0006470,1.0,1.0
GO:0006479,1.0,1.0
GO:0006482,1.0,1.0
GO:0006487,1.0,1.0
GO:0006493,1.0,1.0
GO:0006508,0.3571428571428571,1.0
GO:0006515,1.0,1.0
GO:0006518,1.0,1.0
GO:0006520,0.3571428571428571,1.0
GO:0006522,1.0,1.0
GO:0006523,1.0,1.0
GO:0006524,1.0,1.0
GO:0006525,1.0,1.0
GO:0006526,1.0,1.0
GO:0006527,1.0,1.0
GO:0006528,1.0,1.0
GO:0006529,1.0,1.0
GO:0006530,1.0,1.0
GO:0006531,1.0,1.0
GO:0006532,1.0,1.0
GO:0006533,1.0,1.0
GO:0006534,1.0,1.0
GO:0006535,1.0,1.0
GO:0006536,1.0,1.0
GO:0006537,0.3571428571428571,1.0
GO:0006538,1.0,1.0
GO:0006541,1.0,1.0
GO:0006542,1.0,1.0
GO:0006543,1.0,1.0
GO:0006545,1.0,1.0
GO:0006546,1.0,1.0
GO:0006554,1.0,1.0
GO:0006555,1.0,1.0
GO:0006556,1.0,1.0
GO:0006559,1.0,1.0
GO:0006560,1.0,1.0
GO:0006561,1.0,1.0
GO:0006562,1.0,1.0
GO:0006563,1.0,1.0
GO:0006564,0.3571428571428571,1.0
GO:0006565,1.0,1.0
GO:0006566,1.0,1.0
GO:0006567,1.0,1.0
GO:0006568,1.0,1.0
GO:0006569,1.0,1.0
GO:0006571,1.0,1.0
GO:0006576,1.0,1.0
GO:0006580,1.0,1.0
GO:0006591,1.0,1.0
